,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
100000,7.7561,34.0624,3.40636,29.1908,2.68559,-0.569978,-0.716392,2.49421,1.60234,-0.569974,-0.715917
100001,9.54275,14.5366,11.3262,12.7018,7.57012,-0.531167,-0.958932,2.05073,2.94793,-0.53115,-0.95886
100002,2.84018,14.5366,3.40636,12.7018,2.68559,-0.531167,-0.716392,2.05073,1.60234,-0.53115,-0.715917
100003,5.73304,11.3262,3.40636,7.57012,2.68559,-0.958932,-0.716392,2.94793,1.60234,-0.95886,-0.715917
100004,3.29718,10.4708,7.61409,10.441,6.98999,0.0748324,0.419246,-2.85871,-2.69031,0.0748286,0.419201
100005,5.60297,10.4708,3.72846,10.441,3.47678,0.0748324,-0.377119,-2.85871,-2.0019,0.0748286,-0.376953
100006,14.7171,10.4708,8.25327,10.441,2.73605,0.0748324,1.76847,-2.85871,-0.111348,0.0748286,1.76777
100007,5.14749,7.61409,3.72846,6.98999,3.47678,0.419246,-0.377119,-2.69031,-2.0019,0.419201,-0.376953
100008,10.6529,7.61409,8.25327,6.98999,2.73605,0.419246,1.76847,-2.69031,-0.111348,0.419201,1.76777
100009,9.29512,3.72846,8.25327,3.47678,2.73605,-0.377119,1.76847,-2.0019,-0.111348,-0.376953,1.76777
100010,6.32603,27.1504,14.405,6.8448,4.94078,2.05476,1.73237,0.569997,-0.588238,2.05465,1.73216
100011,7.66721,27.1504,24.2708,6.8448,4.50258,2.05476,2.36904,0.569997,2.02384,2.05465,2.36877
100012,10.3619,27.1504,4.10798,6.8448,3.0507,2.05476,0.809714,0.569997,-1.74528,2.05465,0.809312
100013,9.7945,14.405,24.2708,4.94078,4.50258,1.73237,2.36904,-0.588238,2.02384,1.73216,2.36877
100014,5.7715,14.405,4.10798,4.94078,3.0507,1.73237,0.809714,-0.588238,-1.74528,1.73216,0.809312
100015,9.52447,24.2708,4.10798,4.50258,3.0507,2.36904,0.809714,2.02384,-1.74528,2.36877,0.809312
100016,5.76426,45.7493,9.08069,45.586,8.96562,0.0845825,0.159619,-0.40143,-0.671365,0.0845822,0.159608
100017,11.7278,45.7493,7.86918,45.586,6.68255,0.0845825,0.587283,-0.40143,0.0263151,0.0845822,0.587217
100018,8.64337,45.7493,4.94267,45.586,4.75317,0.0845825,0.280612,-0.40143,-0.950035,0.0845822,0.280544
100019,6.27325,9.08069,7.86918,8.96562,6.68255,0.159619,0.587283,-0.671365,0.0263151,0.159608,0.587217
100020,1.99298,9.08069,4.94267,8.96562,4.75317,0.159619,0.280612,-0.671365,-0.950035,0.159608,0.280544
100021,5.56795,7.86918,4.94267,6.68255,4.75317,0.587283,0.280612,0.0263151,-0.950035,0.587217,0.280544
100022,17.5627,11.4814,14.6455,11.0951,3.13208,0.262989,-2.22392,-1.47747,-1.75375,0.262977,-2.22337
100023,7.77145,11.4814,6.66537,11.0951,2.74314,0.262989,1.53551,-1.47747,-1.80716,0.262977,1.53484
100024,11.5015,11.4814,6.006,11.0951,2.51713,0.262989,1.51549,-1.47747,2.79213,0.262977,1.51469
100025,17.6326,14.6455,6.66537,3.13208,2.74314,-2.22392,1.53551,-1.75375,-1.80716,-2.22337,1.53484
100026,17.2095,14.6455,6.006,3.13208,2.51713,-2.22392,1.51549,-1.75375,2.79213,-2.22337,1.51469
100027,3.99238,6.66537,6.006,2.74314,2.51713,1.53551,1.51549,-1.80716,2.79213,1.53484,1.51469
100028,7.76816,13.4335,21.9555,7.64811,4.2951,-1.16325,-2.31497,-0.724094,-0.145193,-1.16317,-2.31467
100029,10.2843,13.4335,4.88982,7.64811,3.36914,-1.16325,-0.917258,-0.724094,2.42179,-1.16317,-0.916902
